Task ID,Private Score,Public Score,Metric,No Ensemble Score,Pooled Score,Sequence Level Task,Score Alpha 0.1,Score Alpha 0.5,Score Alpha 1.0,Score Alpha 2.0,Score Alpha 5.0
experiment_day,0.0925289765000343,0.0902774631977081,mean_mse,0.0926472470164299,0.0973579809069633,True,0.0925291627645492,0.0925290510058403,0.0925289765000343,0.0925288945436477,0.0925284177064895
time_of_day,0.0925768762826919,0.0946318060159683,mean_mse,0.0927070975303649,-1.0,False,0.0925769656896591,0.0925769656896591,0.0925768762826919,0.0925767943263053,0.0925764963030815
strain,0.8162059944131733,0.814090375661199,f1_score,0.8171106119417398,0.4310344827586206,True,0.8162059944131733,0.8162071602785018,0.8162059944131733,0.8162069460005527,0.816210015051374
approaches,0.0197022019367839,0.0199965266579006,f1_score,0.0207676102635496,-1.0,False,0.0197025207002304,0.0197024144446022,0.0197022019367839,0.0197019186001571,0.0196987482899767
chases,0.0100697471665213,0.0137941604720668,f1_score,0.0126697869797836,-1.0,False,0.0100696593752452,0.0100698788563058,0.0100697471665213,0.0100697032706919,0.0100704056498899
close,0.7082727463679733,0.7110824497045173,f1_score,0.7065467250070774,-1.0,False,0.7082724078226035,0.7082727463679733,0.7082727463679733,0.7082726739432791,0.7082733510306513
contact,0.5585326311426375,0.5483823110879662,f1_score,0.5581491496313203,-1.0,False,0.558528155262746,0.5585319822560872,0.5585326311426375,0.5585312276539813,0.5585319822560872
huddles,0.3107660787100994,0.3001493456396027,f1_score,0.3225064413275041,-1.0,False,0.3107665972040316,0.3107660787100994,0.3107660787100994,0.3107660787100994,0.3107746006533701
oral_ear_contact,0.0055839827862184,0.0042727250835107,f1_score,0.0059563782999262,-1.0,False,0.0055841097788398,0.0055840120916953,0.0055839827862184,0.0055839925546765,0.0055840707035719
oral_genital_contact,0.0147818497166125,0.0169585665647181,f1_score,0.0156053575741148,-1.0,False,0.0147819050901299,0.0147819327770441,0.0147818497166125,0.0147818497166125,0.0147815451696824
oral_oral_contact,0.0125524227182207,0.0118709252206606,f1_score,0.0132876952555743,-1.0,False,0.0125526899450747,0.0125524713040751,0.0125524227182207,0.012552276962914,0.0125443173197504
watching,0.1820703331455103,0.2149495917703644,f1_score,0.1925337494061272,-1.0,False,0.1820635794218623,0.1820651699135144,0.1820703331455103,0.1820727190131739,0.1820762917309129
lights,0.6896703598380296,0.6810341811566316,f1_score,0.6882705456755464,0.4495114006514658,True,0.6896656266486513,0.6896679726548163,0.6896703598380296,0.6896715534296362,0.689676204208104
